//arm station octant half gap plane channel
0 0 0 1 1 0 1
0 1 0 0 1 2 3
0 1 0 0 1 2 4
0 1 0 0 2 2 7
0 1 0 1 0 0 6
0 1 0 1 0 0 7
0 1 0 1 0 0 73
0 1 0 1 0 2 2
0 1 0 1 2 0 76
0 1 0 1 2 0 77
0 1 0 1 2 2 74
0 1 1 0 0 0 77
0 1 1 0 0 2 4
0 1 1 0 0 2 5
0 1 1 0 0 2 6
0 1 1 0 1 0 77
0 1 1 0 1 2 78
0 1 1 0 2 0 1
0 1 1 0 2 0 4
0 1 1 0 2 2 10
0 1 1 0 2 2 5
0 1 1 0 2 2 6
0 1 1 1 0 0 2
0 1 1 1 0 0 76
0 1 1 1 0 0 77
0 1 1 1 0 0 78
0 1 1 1 0 2 64
0 1 1 1 0 2 65
0 1 1 1 0 2 66
0 1 1 1 0 2 67
0 1 1 1 0 2 68
0 1 1 1 0 2 69
0 1 1 1 0 2 70
0 1 1 1 0 2 71
0 1 1 1 0 2 72
0 1 1 1 0 2 73
0 1 1 1 0 2 74
0 1 1 1 0 2 75
0 1 1 1 0 2 76
0 1 1 1 1 0 77
0 1 1 1 1 0 78
0 1 1 1 1 2 74
0 1 1 1 2 0 2
0 1 1 1 2 0 78
0 1 1 1 2 2 64
0 1 1 1 2 2 65
0 1 1 1 2 2 66
0 1 1 1 2 2 67
0 1 1 1 2 2 68
0 1 1 1 2 2 69
0 1 1 1 2 2 70
0 1 1 1 2 2 71
0 1 2 0 1 0 3
0 1 2 0 1 0 76
0 1 2 0 1 0 77
0 1 2 0 1 2 5
0 1 2 0 1 2 6
0 1 2 0 2 0 76
0 1 2 0 2 0 77
0 1 2 1 0 0 2
0 1 2 1 0 0 73
0 1 2 1 0 0 78
0 1 2 1 0 2 71
0 1 2 1 0 2 75
0 1 2 1 0 2 76
0 1 2 1 1 0 2
0 1 2 1 1 0 73
0 1 2 1 1 0 78
0 1 2 1 1 2 71
0 1 2 1 1 2 72
0 1 2 1 1 2 77
0 1 2 1 1 2 78
0 1 2 1 2 0 72
0 1 2 1 2 0 73
0 1 2 1 2 0 74
0 1 2 1 2 0 75
0 1 2 1 2 0 78
0 1 2 1 2 2 68
0 1 2 1 2 2 71
0 1 3 0 0 0 1
0 1 3 0 0 0 2
0 1 3 0 0 0 77
0 1 3 0 0 2 4
0 1 3 0 0 2 6
0 1 3 0 0 2 78
0 1 3 0 1 0 2
0 1 3 0 1 2 4
0 1 3 0 2 0 1
0 1 3 0 2 0 2
0 1 3 0 2 2 7
0 1 3 1 0 0 2
0 1 3 1 0 2 76
0 1 3 1 0 2 77
0 1 3 1 1 0 1
0 1 3 1 1 2 1
0 1 3 1 2 2 74
0 1 3 1 2 2 75
0 1 3 1 2 2 76
0 1 4 0 0 0 3
0 1 4 0 0 0 77
0 1 4 0 1 0 3
0 1 4 0 1 2 4
0 1 4 0 1 2 78
0 1 4 0 2 0 3
0 1 4 0 2 0 77
0 1 4 1 0 0 2
0 1 4 1 0 2 73
0 1 4 1 1 0 2
0 1 4 1 2 0 72
0 1 4 1 2 0 76
0 1 4 1 2 0 77
0 1 4 1 2 2 74
0 1 5 0 0 0 1
0 1 5 0 0 0 76
0 1 5 0 0 0 77
0 1 5 0 0 2 4
0 1 5 0 0 2 5
0 1 5 0 0 2 6
0 1 5 0 0 2 8
0 1 5 0 0 2 9
0 1 5 0 1 0 1
0 1 5 0 1 0 77
0 1 5 0 1 2 77
0 1 5 0 1 2 78
0 1 5 0 2 0 1
0 1 5 0 2 0 76
0 1 5 0 2 0 77
0 1 5 0 2 2 6
0 1 5 0 2 2 7
0 1 5 1 0 0 2
0 1 5 1 0 0 3
0 1 5 1 0 0 4
0 1 5 1 0 2 75
0 1 5 1 0 2 76
0 1 5 1 0 2 77
0 1 5 1 1 0 2
0 1 5 1 1 2 1
0 1 5 1 1 2 77
0 1 5 1 1 2 78
0 1 5 1 2 0 2
0 1 5 1 2 0 3
0 1 5 1 2 2 74
0 1 5 1 2 2 75
0 1 5 1 2 2 76
0 1 6 0 0 0 2
0 1 6 0 0 0 3
0 1 6 0 0 2 6
0 1 6 0 0 2 7
0 1 6 0 1 0 3
0 1 6 0 1 2 4
0 1 6 0 1 2 5
