//arm station octant half gap channel
0 0 0 0 0 0
0 0 0 1 0 0
0 0 1 0 1 48
0 0 1 0 1 49
0 0 1 0 1 50
0 0 1 0 1 51
0 0 1 0 1 52
0 0 1 0 1 53
0 0 1 0 1 54
0 0 1 0 1 55
0 0 1 0 1 56
0 0 1 0 1 57
0 0 1 0 1 58
0 0 1 0 1 59
0 0 1 0 1 60
0 0 1 0 1 61
0 0 1 0 1 62
0 0 1 0 1 63
0 0 1 1 1 48
0 0 1 1 1 49
0 0 1 1 1 50
0 0 1 1 1 51
0 0 1 1 1 52
0 0 1 1 1 53
0 0 1 1 1 54
0 0 1 1 1 55
0 0 1 1 1 56
0 0 1 1 1 57
0 0 1 1 1 58
0 0 1 1 1 59
0 0 1 1 1 60
0 0 1 1 1 61
0 0 1 1 1 62
0 0 1 1 1 63
0 0 2 0 0 6
0 0 2 0 0 7
0 0 2 0 0 8
0 0 2 0 0 9
0 0 2 0 0 10
0 0 2 0 0 11
0 0 2 0 0 12
0 0 2 0 0 13
0 0 2 0 0 14
0 0 2 0 0 15
0 0 2 1 0 6
0 0 2 1 0 7
0 0 2 1 0 8
0 0 2 1 0 9
0 0 2 1 0 10
0 0 2 1 0 11
0 0 2 1 0 12
0 0 2 1 0 13
0 0 2 1 0 14
0 0 2 1 0 15
0 0 4 0 0 6
0 0 4 0 0 7
0 0 4 0 0 8
0 0 4 0 0 9
0 0 4 0 0 10
0 0 4 0 0 11
0 0 4 0 0 12
0 0 4 0 0 13
0 0 4 0 0 14
0 0 4 0 0 15
0 0 4 1 0 6
0 0 4 1 0 7
0 0 4 1 0 8
0 0 4 1 0 9
0 0 4 1 0 10
0 0 4 1 0 11
0 0 4 1 0 12
0 0 4 1 0 13
0 0 4 1 0 14
0 0 4 1 0 15
0 0 7 0 0 6
0 0 7 0 0 7
0 0 7 0 0 8
0 0 7 0 0 9
0 0 7 0 0 10
0 0 7 0 0 11
0 0 7 0 0 12
0 0 7 0 0 13
0 0 7 0 0 14
0 0 7 0 0 15
0 0 7 1 0 6
0 0 7 1 0 7
0 0 7 1 0 8
0 0 7 1 0 9
0 0 7 1 0 10
0 0 7 1 0 11
0 0 7 1 0 12
0 0 7 1 0 13
0 0 7 1 0 14
0 0 7 1 0 15
0 1 0 0 2 0
0 1 0 0 2 1
0 1 0 0 2 2
0 1 0 0 2 3
0 1 0 0 2 4
0 1 0 0 2 5
0 1 0 0 2 6
0 1 0 0 2 7
0 1 0 0 2 8
0 1 0 0 2 9
0 1 0 0 2 10
0 1 0 0 2 11
0 1 0 0 2 12
0 1 0 0 2 13
0 1 0 0 2 14
0 1 0 0 2 15
0 1 0 0 2 16
0 1 0 0 2 17
0 1 0 0 2 18
0 1 0 0 2 19
0 1 0 0 2 20
0 1 0 0 2 21
0 1 0 0 2 22
0 1 0 0 2 23
0 1 0 0 2 24
0 1 0 0 2 25
0 1 0 0 2 26
0 1 0 0 2 27
0 1 0 0 2 28
0 1 0 0 2 29
0 1 0 0 2 30
0 1 0 0 2 31
0 1 0 1 2 0
0 1 0 1 2 1
0 1 0 1 2 2
0 1 0 1 2 3
0 1 0 1 2 4
0 1 0 1 2 5
0 1 0 1 2 6
0 1 0 1 2 7
0 1 0 1 2 8
0 1 0 1 2 9
0 1 0 1 2 10
0 1 0 1 2 11
0 1 0 1 2 12
0 1 0 1 2 13
0 1 0 1 2 14
0 1 0 1 2 15
0 1 0 1 2 17
0 1 0 1 2 18
0 1 0 1 2 19
0 1 0 1 2 20
0 1 0 1 2 21
0 1 0 1 2 22
0 1 0 1 2 23
0 1 0 1 2 24
0 1 0 1 2 25
0 1 0 1 2 26
0 1 0 1 2 27
0 1 0 1 2 28
0 1 0 1 2 29
0 1 0 1 2 30
0 1 0 1 2 31
0 1 0 0 0 109
0 1 0 0 0 110
0 1 0 0 0 111
0 1 0 0 0 112
0 1 0 0 0 113
0 1 0 0 0 114
0 1 0 0 0 115
0 1 0 0 0 116
0 1 0 0 0 117
0 1 0 0 0 118
0 1 0 0 0 119
0 1 0 0 0 120
0 1 0 0 0 121
0 1 0 0 0 122
0 1 0 0 0 123
0 1 0 0 0 124
0 1 0 0 0 125
0 1 0 0 0 126
0 1 0 0 0 127
0 1 0 0 0 128
0 1 0 0 0 129
